Timestamp,Value
2025-04-21 13:59:44,22.5
2025-04-21 14:04:44,22.6
2025-04-21 14:09:44,22.7
2025-04-21 14:14:44,22.8
2025-04-21 14:19:44,22.9
2025-04-21 14:24:44,23.0
2025-04-21 14:29:44,23.1
2025-04-21 14:34:44,23.2
2025-04-21 14:39:44,23.3
2025-04-21 14:44:44,23.4
2025-04-21 14:49:44,23.5
2025-04-21 14:54:44,23.6
2025-04-21 14:59:44,23.7
2025-04-21 15:04:44,23.8
2025-04-21 15:09:44,23.9
2025-04-21 15:14:44,24.0
2025-04-21 15:19:44,24.1
2025-04-21 15:24:44,24.2
2025-04-21 15:29:44,24.3
2025-04-21 15:34:44,24.4
