Timestamp,Value
2025-04-21 13:59:44,30.0
2025-04-21 14:04:44,30.3
2025-04-21 14:09:44,30.6
2025-04-21 14:14:44,30.9
2025-04-21 14:19:44,31.2
2025-04-21 14:24:44,31.5
2025-04-21 14:29:44,31.8
2025-04-21 14:34:44,32.1
2025-04-21 14:39:44,32.4
2025-04-21 14:44:44,32.7
2025-04-21 14:49:44,33.0
2025-04-21 14:54:44,33.3
2025-04-21 14:59:44,33.6
2025-04-21 15:04:44,33.9
2025-04-21 15:09:44,34.2
2025-04-21 15:14:44,34.5
2025-04-21 15:19:44,34.8
2025-04-21 15:24:44,35.1
2025-04-21 15:29:44,35.4
2025-04-21 15:34:44,35.7
